method,rtt_ms,method_time,rounds,uplink_transfer_time,network_wait_time,cloud_verify_time,downlink_transfer_time,edge_cloud_cycle_time,network_only_time,cloud_verify_share_of_cycle_percent,uplink_share_of_cycle_percent,wait_share_of_cycle_percent,downlink_share_of_cycle_percent,network_cycle_share_of_method_time_percent,cloud_verify_per_round_ms,network_wait_per_round_ms,upload_payload_bytes,downlink_payload_bytes,speedup_vs_target_only
traditional-spec-sampling / kv-cache,10.0,5.616093151271343,29.0,0.0003583999999999,0.2900000000000001,1.0192977096885445,0.0001855999999999,1.3098417096885444,0.2905439999999999,77.8183884471746,0.027362084849559477,22.140079816893035,0.014169651082803904,23.32300541332775,35.148196885811885,10.000000000000004,448.0,232.0,0.1729645327215641
traditional-spec-sampling / kv-cache,10.0,4.536134405061603,24.0,0.0002911999999999,0.2400000000000001,0.8042097594588995,0.0001535999999999,1.0446545594588994,0.2404447999999999,76.98331971819054,0.02787524329101987,22.97410161348581,0.014703425032621342,23.029620954203462,33.50873997745415,10.000000000000004,364.0,192.0,0.2185138686668315
traditional-spec-sampling / kv-cache,10.0,4.861868966370821,26.0,0.0003199999999999,0.2600000000000001,0.8922197576612234,0.0001663999999999,1.1527061576612234,0.2604863999999999,77.40218543392598,0.027760760873279465,22.555618209546623,0.014435595654101156,23.70911609577314,34.31614452543167,10.000000000000005,400.0,208.0,0.1918507207933355
traditional-spec-sampling / kv-cache,10.0,5.662023758515716,29.0,0.0003519999999999,0.2900000000000001,1.0166183225810528,0.0001855999999999,1.3071559225810527,0.2905375999999999,77.77330194654077,0.026928692585109222,22.185570595692887,0.01419876518123579,23.086372970708272,35.05580422693286,10.000000000000004,440.0,232.0,0.2377319846989415
traditional-spec-sampling / kv-cache,10.0,4.902898902073503,26.0,0.0003167999999999,0.2600000000000001,0.8742732126265764,0.0001663999999999,1.1347564126265763,0.2604831999999999,77.04501185438824,0.02791788585416454,22.912406319712993,0.014663940044607495,23.144601495794095,33.62589279332987,10.000000000000005,396.0,208.0,0.2067997485494969
traditional-spec-sampling / kv-cache,10.0,4.567503113299608,25.0,0.0003103999999999,0.2500000000000001,0.8006668146699667,0.0001599999999999,1.0511372146699667,0.25047039999999987,76.17148394097701,0.02952992203756753,23.783764527687705,0.015221609297710612,23.013388028336013,32.02667258679867,10.000000000000004,388.0,200.0,0.2093722027539087
traditional-spec-sampling / kv-cache,10.0,4.8962996527552605,27.0,0.0003359999999999,0.2700000000000001,0.8882259894162416,0.0001727999999999,1.1587347894162414,0.2705087999999999,76.6548132954324,0.028997144391355797,23.301276743060704,0.014912817115550217,23.66552032337716,32.89725886726821,10.000000000000002,420.0,216.0,0.194926295465171
traditional-spec-sampling / kv-cache,10.0,5.007031213492155,26.0,0.0003135999999999,0.2600000000000001,0.8697195239365101,0.0001663999999999,1.13019952393651,0.26047999999999993,76.95274201737917,0.027747313050320913,23.004787605503,0.014723064067513064,22.57224841920352,33.450750920635,10.000000000000005,392.0,208.0,0.1850042071672372
traditional-spec-sampling / kv-cache,10.0,5.124574707821012,27.0,0.0003295999999999,0.2700000000000001,0.9098687395453452,0.0001727999999999,1.180371139545345,0.27050239999999987,77.08327568020752,0.027923420774829795,22.874161435698827,0.014639463318838775,23.03354340300452,33.69884220538315,10.000000000000002,412.0,216.0,0.1883750300238336
traditional-spec-sampling / kv-cache,10.0,4.586642315611243,25.0,0.0003071999999999,0.2500000000000001,0.8289678320288658,0.0001599999999999,1.0794350320288657,0.2504671999999999,76.79645438880827,0.02845933204729315,23.16026371036981,0.014822568774627405,23.534318958224972,33.15871328115463,10.000000000000004,384.0,200.0,0.2089687361526666
